lat,lon,crs,tas_anom
-87.5,-153.5,b'',5.559041
-87.5,-152.5,b'',5.550732
-87.5,-151.5,b'',5.5545115
-87.5,-150.5,b'',5.5599003
-87.5,-149.5,b'',5.5622263
-87.5,-148.5,b'',5.5733905
-87.5,-147.5,b'',5.5758104
-87.5,-146.5,b'',5.5855713
-87.5,-145.5,b'',5.587731
-87.5,-144.5,b'',5.5985365
-87.5,-143.5,b'',5.5979347
-87.5,-142.5,b'',5.605328
-87.5,-141.5,b'',5.6085434
-87.5,-140.5,b'',5.6158643
-87.5,-139.5,b'',5.6199336
-87.5,-138.5,b'',5.6205254
-87.5,-137.5,b'',5.623188
-87.5,-136.5,b'',5.6206074
-87.5,-135.5,b'',5.6240454
-87.5,-134.5,b'',5.625472
-87.5,-133.5,b'',5.633408
-87.5,-132.5,b'',5.639039
-87.5,-131.5,b'',5.644787
-87.5,-130.5,b'',5.657442
